Storage modulus,Loss modulus,Step time
0.425702,0.0261252,42.037
0.425624,0.0260252,42.087
0.425559,0.0260579,42.137
0.425485,0.0261813,42.186
0.425398,0.0261828,42.236
0.425255,0.0261848,42.286
0.425179,0.0261632,42.336
0.42515,0.0262298,42.386
0.42507,0.0262316,42.436
0.425003,0.0263393,42.486
0.424866,0.0261709,42.536
0.424789,0.0262164,42.586
0.424733,0.0262685,42.636
0.424642,0.0261393,42.686
0.424615,0.0262189,42.736
0.424594,0.0262807,42.786
0.424533,0.026349,42.836
0.424504,0.026414,42.886
0.424367,0.0262304,42.936
0.424255,0.0263085,42.986
0.42421,0.0263046,43.036
0.424172,0.0261657,43.086
0.424134,0.0261966,43.136
0.424083,0.0262603,43.186
0.424031,0.0262178,43.236
0.423991,0.0261781,43.286
0.423926,0.0261849,43.336
0.423886,0.0263028,43.386
0.423717,0.0262638,43.436
0.423553,0.0261282,43.486
0.423541,0.026257,43.536
0.423445,0.0263055,43.586
0.423325,0.0262312,43.636
0.423164,0.0262558,43.686
0.423027,0.0262398,43.736
0.422881,0.0262941,43.786
0.422722,0.0263559,43.836
0.422562,0.0263362,43.886
0.422478,0.0263817,43.936
0.422333,0.026331,43.986
0.422228,0.0263603,44.036
0.422135,0.0263581,44.086
0.422086,0.0262969,44.136
0.422082,0.0263554,44.186
0.422035,0.0263969,44.236
0.421959,0.0261802,44.286
0.421931,0.0262441,44.336
0.42185,0.0263254,44.386
0.421655,0.0264355,44.436
0.421477,0.0265805,44.486
0.421295,0.026435,44.536
